"QueChu","QueBien","ChuThich"
"THỦY HOẢ KÝ TẾ","ĐỊA HỎA MINH DI","Vì quá tham mà chuốc lấy thất bại. Lòng tham là kẻ địch của mua bán, nên lấy đó làm tiếng chuông cảnh tỉnh, luôn luôn phải cảnh giác, nếu không sẽ không bao giờ được ổn định, cho dù tạm thời có lợi thì cuối cùng vẫn bị thị trường đào thải."
"THỦY HOẢ KÝ TẾ","PHONG HỎA GIA NHÂN","Mua bán tranh chấp, rủi ro khắp nơi, không thể mù quáng chạy theo. Thấy cao thì bán ra sẽ thắng lợi, giữ hàng không lợi."
"TRẠCH HỎA CÁCH","TRẠCH SƠN HÀM","Vận khí không thông, nhập cuộc có rủi ro, không những chẳng được gì mà còn bị mắc kẹt. Tạm thời quan sát. Giá cả dao động, rất khó nắm bắt thời cơ."
"TRẠCH HỎA CÁCH","TRẠCH THIÊN QUẢI","Sau khi điều chỉnh, xu thế thị trường rõ dần, lòng người cũng chuyển biến tốt hơn, sức mua bán không ngừng tăng lên, xu thế mả hành động thì sẽ thành công."
"TRẠCH HỎA CÁCH","TRẠCH LÔI TÙY","Giá cả lên xuống có trật tự, thị trường vận hành ổn định, mua bán nhanh là chính, rủi ro ít, sẽ có lợi."
"TRẠCH HỎA CÁCH","THỦY HOẢ KÝ TẾ","Xu thế mua bán không rõ ràng, trong lòng không nắm chắc, hành động dễ mù quáng. Nên quan sát chờ thời."
"TRẠCH HỎA CÁCH","LÔI HỎA PHONG","Vận khí khai thông, mua bán không có gì đáng lo, có thế lợi lớn. Chú ý nắm chắc thời cơ, không được do dự."
"TRẠCH HỎA CÁCH","THIÊN HỎA ĐỒNG NHÂN","Vật cực tất phải quay trở lại, giá cả trượt xuống cực điểm, ở giá đáy bên mua sẽ nhập cuộc, chuẩn bị tốt để đón thị trường biến đổi, không được mù quáng chạy theo bán ra, phân phối tốt thực lực của mình, ở giá thích hợp mua thử một ít."
"LÔI HỎA PHONG","LÔI SƠN TIỂU QUÁ","Bị mắc kẹt mà không giải quyết được. Về cuối giá cả lao động trong biên độ hẹp, không nên mua bán mới. Cần kịp thời điều chỉnh để thoát khỏi khó khăn, chú ý nắm chắc tình hình."
"LÔI HỎA PHONG","LÔI THIÊN ĐẠI TRÁNG","Không nên hành động, cầu tài không được, thị trường có trở ngại, cảnh giác về cuối có đột biến. Về sau giá cả tăng lên."
"LÔI HỎA PHONG","CHẤN VI LÔI","Mua bán phải có đầu óc ứng biến, không nên giữ mãi ý nghĩ mua hay bán theo một chiều. Thị trường phát triển không ổn định, nên hành động phải cẩn thận. Nếu trong tay có chứng phiếu bị kẹt thì đây là thời cơ bán ra, mua bán mới sẽ không có lợi."
"LÔI HỎA PHONG","ĐỊA HỎA MINH DI","Tình hình có phát triển, tuy không ổn định lắm nhưng không rủi ro nhiều. Ap lực bên bán khá lớn, mua vào phải cẩn thận, về cuối vì bên bán bán hết, dẫn đến giá cả lên cao. Nên mua bán nhanh, giữ hàng lại không lợi."
"LÔI HỎA PHONG","TRẠCH HỎA CÁCH","Bĩ cực thái lai, vượng cực tất suy, bất cứ lúc nào cũng phải bình tĩnh cao độ. Nhập cuộc nên căn cứ tình hình thực tế của mình, dùng những phương thức mới, hành động dứt khoát thì có thể cứu vãn tình thế, thu lợi càng lớn hơn."
"LÔI HỎA PHONG","LY VI HỎA","Thị trường có đột biến, không thể nhập cuộc mù quáng, cẩn thận kẻo bị thua thiệt."
"ĐỊA HỎA MINH DI","ĐỊA SƠN KHIÊM","Chân đã bước đi mà lòng còn đứng lại, tình hình biến đổi tuy không lớn nhưng trong đó tiềm ẩn rủi ro, không nên nhập cuộc, nếu hành động miễn cưỡng thì không những không lợi mà còn mang thêm lo lắng"
"ĐỊA HỎA MINH DI","ĐỊA THIÊN THÁI","Mua bán có lo lắng, sau khi bị kẹt nên chờ đợi, tình hình phát triển cuối cùng chuyển đổi rõ rệt, chứng phiếu bị kẹt được giải thoát và còn thu ít lãi."
"ĐỊA HỎA MINH DI","ĐỊA LÔI PHỤC","Nhìn gió có vẻ trời sắp mưa, nhưng hôm nay dựa vào thông tin thị trường để hành động thì sẽ bị lỗ."
"ĐỊA HỎA MINH DI","LÔI HỎA PHONG","Cho dù thị trường biến đổi ra sao đều có một quy luật xuyên suốt trong đó. Nói một cách khái quát, hai bên mua bán dù đối địch như thế nào thì sự biến đổi cao thấp của giá cả là kết quả so sánh lực lượng nhất thời của hai bên quyết định. Nguyên nhân cơ bản là chịu sự ảnh hưởng của mối quan hệ cung cầu. Trên thị trường luôn có một lực luowngj vo hình chi phối và điều tiết. Lực lượng này luôn luôn giúp đỡ kẻ yếu một cách vô ý thức, bất cứ lúc nào cũng thúc đẩy hai bên mua bán hướng tới cân bằng nhau. Vật đến cùng cực tất sẽ quay trở lại."
"ĐỊA HỎA MINH DI","THỦY HOẢ KÝ TẾ","Nên quan sát chờ đợi, nhập cuộc sẽ bị kẹt."
"ĐỊA HỎA MINH DI","SƠN HỎA BÔN","Có khách hàng mới nhập cuộc mua vào, nhưng giá tăng chậm, nếu chỉ căn cứ hiện tượng mà mua vào thì cuối cùng sẽ bị kẹt."
"ĐỊA THỦY SƯ","ĐỊA TRẠCH LÂM","Hôm nay nhập cuộc không lợi, mua bán dễ bị kẹt. Nếu nhất định mua có thể gặp giá thấp mua vào, sau đó bán ngay. Không nắm bắt tốt sẽ bị lỗ."
"ĐỊA THỦY SƯ","KHÔN VI ĐỊA","Mọi người uể oải, áp lực bán rất lớn, sẽ xuất hiện sự trượt đến đáy, hành động theo xu thế sẽ không có nguy hiểm lớn mà còn thu lợi."
"ĐỊA THỦY SƯ","ĐỊA PHONG THĂNG","Vứt bỏ hiện tượng, nhìn rõ bản chất, nhìn không chuẩn xu thế thị trường thì không nên kết luận. Xu thế thị trường không đổi, tin tức không chuẩn, nếu vào sàn thì sẽ bị lỗ, đứng ngoài quan sát là tốt nhất."
"ĐỊA THỦY SƯ","LÔI THỦY GIẢI","Hai bên mua bán cạnh tranh bình thường, giá cả lên xuống rõ rệt, thuận theo xu thế mà mua bán thì nhất định có lợi."
"ĐỊA THỦY SƯ","KHẢM VI THỦY","Thị trường hỗn loạn, không dễ nhập cuộc, chứng tỏ cổ phiếu đã bị kẹt, hoặc hôm nay mua vào sẽ bị kẹt. Nên bình tĩnh, thị trường không lợi cho bạn, tốt nhất là quan sát, không được làm liều."
"ĐỊA THỦY SƯ","SƠN THỦY MÔNG","Không có khả năng phán đoán xu thế của thị trường, rơi vào trạng thái nghi ngờ, khó nghĩ. Lúc đó tốt nhất là đứng ngoài phân tích thị trường, tăng cường lòng tin"
"CẤN VI SƠN","SƠN HỎA BÔN","Thị trường tuy tấp nập, nhưng tinh thấn uể oải, giao dịch không hoạt bát, không nên hy vọng quá cao, không để cho một số hiện tượng mê hoặc. Nhập cuộc phải cẩn thận, không có lợi lớn."
"CẤN VI SƠN","SƠN PHONG CỔ","Nên quan sát, phân tính tình hình, xem mọi người chung quanh rồi mới quyết định. Thấy thấp mua vào là chính, không nên giữ hàng lại."
"CẤN VI SƠN","SƠN ĐỊA BÁC","Có dấu hiệu bị thua lỗ, chứng phiếu bị kẹt, không nên kéo dài, nên có biện pháp dứt khoát, giá cả tăng  lên yếu ớt, có khả năng giảm xuống."
"CẤN VI SƠN","HỎA SƠN LỮ","Mua bán thiếu lòng tin, mua bán tranh chấp trở ngại, giá cả dao động, gặp cuộc tuy rủi ro nhưng vẫn có lợi để thu nhập. Mua bán nhanh là chính, không nên giữ hàng lại."
"CẤN VI SƠN","PHONG SƠN TIỆM","Thị trường có vẻ đầy triển vọng, phải nắm chắc thời cơ, cố gắng phấn đấu, tạm thời không có lợi để cầu, nhưng thuận theo xu thế mà hành động, giữ hàng lại sẽ lợi lớn."
"CẤN VI SƠN","ĐỊA SƠN KHIÊM","Thị trường có cảnh tượng tấp nập, hân hoan, hành động theo kế hoạch của mình thì không có rủi ro, nhưng không nên kiêu ngạo chủ quan, phải lượng sức mình, không được xem thường áp lực bên bán."
"SƠN HỎA BÔN","CẤN VI SƠN","Kịp thời bán ra, không được quá lưu luyến với thị trường."
"SƠN HỎA BÔN","SƠN THIÊN ĐẠI SÚC","Công việc không trôi chảy, cuối cùng không có lãi."
"SƠN HỎA BÔN","SƠN LÔI DI","Mệt mỏi, chú ý nghỉ ngơi."
"SƠN HỎA BÔN","LY VI HỎA","Mua bán phải cẩn thận, không nên tham lam, thấy lời thì làm, không nên mạo hiểm, cần phải biết rõ mình có thể lãi bao nhiêu mới làm. Như vậy hàng ngày mới thu lợi."
"SƠN HỎA BÔN","PHONG HỎA GIA NHÂN","Mọi người tranh cãi, ý kiến bất nhất, nhiều người tranh mua vào, kết quả lời lãi khác nhau."
"SƠN HỎA BÔN","ĐỊA HỎA MINH DI","Mua bán phải dựa vào đầu óc của mình, chạy theo người khác, thị trường  đột biến sẽ bị mắc kẹt, trở tay không kịp, nên tạm thời quan sát chờ đợi thời cơ."
"SƠN THIÊN ĐẠI SÚC","SƠN PHONG CỔ","Thống nhất ý kiến với bạn, nhập cuộc không gặp trở ngại gì, không có rủi ro, cầu tài là được."
"SƠN THIÊN ĐẠI SÚC","SƠN HỎA BÔN","Gặp may mắn, thắng lợi bất ngờ, đó là nhờ trời cho."
"SƠN THIÊN ĐẠI SÚC","SƠN TRẠCH TỔN","Hai bên mua bán giằng co nhau, cuối cùng giá cả vẫn ở trạng thái dao động, nhập cuộc nên cẩn thận."
"SƠN THIÊN ĐẠI SÚC","HỎA THIÊN ĐẠI HỮU","Có chính sách ảnh hưởng đến tình hình, thấy thấp mua vào là đúng sách lược, nhưng lợi nhuận không lớn."
"SƠN THIÊN ĐẠI SÚC","PHONG THIÊN TIỂU SÚC","Mua vào ở thời điểm thích hợp sẽ không đến nỗi bi quan, cố gắng phấn đấu, thời cơ đến sẽ đạt kết quả mỹ mãn."
"SƠN THIÊN ĐẠI SÚC","ĐỊA THIÊN THÁI","Bắt đầu vào cuộc cần bình tĩnh quan sát những người chung quanh và tìm sự đồng tình của những khách hàng lớn, nhất định không được dựa vào cảm giác, nhập cuộc dễ bị kẹt, tránh nóng vội, tiến vững chắc từng bước."
"SƠN TRẠCH TỔN","SƠN THỦY MÔNG","Tay chân rối loạn đương nhiên không tốt, vừa nhập cuộc thì khẩn trương cao độ, dễ gây nên sai lầm, cầu tài không được, do đó nói tâm thái không ổn định thì cần điều chỉnh, không nên nhập cuộc trong trạng thái nôn nóng."
"SƠN TRẠCH TỔN","SƠN LÔI DI","Có khách hàng mạnh liên kết với nhau để thao túng thị trường, thị trường rất căng thẳng, nên kịp thời điều chỉnh, sớm rút lui, nếu không sẽ có nuy cơ mắc kẹt."
"SƠN TRẠCH TỔN","SƠN THIÊN ĐẠI SÚC","Thấy thấp mua vào là phương sách đúng đắn, phải cẩn thận đề phòng ý kiến của người khác ảnh hưởng đến tư duy của mình dẫn đến sai lầm, làm đảo lộn kế hoạch, bảo đảm tính độc lập là rất quan trọng."
"SƠN TRẠCH TỔN","HỎA TRẠCH KHUÊ","Cung lớn hơn cầu, tự nhiên giá hạ xuống, nhưng mua bán thừa cơ thao túng, giá cả xuất hiện trạng thái cực đoan, mua bán có kỹ xảo có thể thu lợi nhiều."
"SƠN TRẠCH TỔN","PHONG TRẠCH TRUNG PHÙ","Có dấu hiệu giá tăng, nhưng áp lực bán cũng khá lớn, thế lực hai bên mua bán ngang nhau, giá cả biến động trong biên độ lớn, nhập cuộc phải chú ý nắm chắc thời cơ, nếu không thì khó thắng."
"SƠN TRẠCH TỔN","ĐỊA TRẠCH LÂM","Ngoài việc hanh thông, mua bán như ý, tiền đồ đầy hy vọng, thuận buồm xuôi gió, còn thu lợi lớn, nhưng không nên vì thế mà chủ quan."
"HỎA TRẠCH KHUÊ","HỎA THỦY VỊ TẾ","Ban đầu không thuận lợi, nhưng không nên nôn nóng, kiên trì chờ đợi, cuối cùng sẽ thành công lớn."
"HỎA TRẠCH KHUÊ","HỎA LÔI PHỆ HẠP","Nhập cuộc gặp biến động bất ngờ, chuốc lấy thất bại, do đó không nên vào cuộc."
"HỎA TRẠCH KHUÊ","HỎA THIÊN ĐẠI HỮU","Bên mua thao túng, giá cả có triển vọng lên cao, nhưng sức tăng không mạnh, về cuối ở khu vực giá cao có thể bán ra nhưng nhìn chung toàn thị trường có vẻ tiêu điều."
"HỎA TRẠCH KHUÊ","SƠN TRẠCH TỔN","Có dấu hiệu bị thua lỗ, nhập cuộc phải cẩn thận, tạm thời nên ngừng giao dịch, chờ thời."
"HỎA TRẠCH KHUÊ","THIÊN TRẠCH LÝ","Vận khí không tốt, bỏ lỡ giá nhập cuộc, ngược lại bị kẹt, trong lòng đau khổ."
"HỎA TRẠCH KHUÊ","LÔI TRẠCH QUY MUỘI","Thuận theo xu thế mà làm sẽ thắng lợi bất ngờ."
"THIÊN TRẠCH LÝ","THIÊN THỦY TỤNG","Gặp cao thì bán, thị trường ảm đạm, sức bán khá lớn, chú ý điều chỉnh phương hướng của mình."
"THIÊN TRẠCH LÝ","THIÊN LÔI VÔ VỌNG","Muốn luôn vui cười thì phải thường thu lợi. Hôm nay có thể nhập cuộc với những loại chứng phiếu trung, dài hạn, không có nguy hiểm, có thể thu lợi."
"THIÊN TRẠCH LÝ","CÀN VI THIÊN","Vì không cẩn thận, tự cho là mình kiếm tiền dễ dãi, kết quả trong giao dịch vì ăn nói mà tiền tuột khỏi tay, uổng công vô ích."
"THIÊN TRẠCH LÝ","PHONG TRẠCH TRUNG PHÙ","Đầu óc tỉnh táo, phán đoán chính xác, nhập cuộc đúng lúc, không có rủi ro, cầu tài là được, khiêm tốn là chính."
"THIÊN TRẠCH LÝ","HỎA TRẠCH KHUÊ","Vào sàn để mua bán, làm việc kết hợp với nghỉ ngơi có thể thu lợi, tâm tình thoải mái."
"THIÊN TRẠCH LÝ","ĐOÀI VI TRẠCH","Thị trường bán có triển vọng lên cao, nhập cuộc tủi ro khá lớn, nên cẩn thận."
"PHONG TRẠCH TRUNG PHÙ","PHONG THỦY HOÁN","Nhập cuộc bị mắc kẹt vì thời cơ nhập cuộc không tốt. Giá tăng gặp trở ngại, áp lực bên bán khá lớn, trong lòng lo lắng bồn chồn. "
"PHONG TRẠCH TRUNG PHÙ","PHONG LÔI ÍCH","Tìm thắng lợi trong sự ổn định. Muốn thắng lợi trong thị trường chứng khoán thì phải trầm tĩnh, ngược lại nếu không nắm chắc xu thế cuối cùng sẽ bị thất bại. "
"PHONG TRẠCH TRUNG PHÙ","PHONG THIÊN TIỂU SÚC","Giá dao động lên xuống, thực lực bên mua lớn hơn, do đó mua bán nhanh là chính, chú ý mở rộng lợi nhuận."
"PHONG TRẠCH TRUNG PHÙ","THIÊN TRẠCH LÝ","Bên mua ra sức giữ giá. Nhập cuộc có thể mua vào, chắc chắn sẽ thu lợi, tuy không lớn lắm. Về cuối bên mua càng có lòng tin, nhưng không được chạy theo mua vào nhiều."
"PHONG TRẠCH TRUNG PHÙ","SƠN TRẠCH TỔN","Tình hình vẫn dao động ở mức cực đoan, tiềm ẩn rủi ro rất lớn, nhập cuộc phải cẩn thận về số lượng, tìm kiếm cảm giác vào nhanh ra nhanh, bị mắc kẹt phải kịp thời bán ra, không thể giữ hàng lâu."
"PHONG TRẠCH TRUNG PHÙ","THỦY TRẠCH TIẾT","Nhập cuộc bị mắc kẹt, đành phải bán ra, không được giữ lại. Nên cẩn thận phán đoán xu thế, không được manh động. "
"PHONG SƠN TIỆM","PHONG HỎA GIA NHÂN","Thực lực không lớn thì không nên tỏ ra là mình mạnh, phải hành động thuận theo xu thế, thích hợp với thời cuộc. Giá tăng lên yếu ớt, sẽ xuất hiện trạng thái toàn bộ đều trượt xuống."
"PHONG SƠN TIỆM","TỐN VI PHONG","Chứng phiếu bị kẹt chưa được giải quyết, tính tình bất ổn thì không nên mua bán mới, nếu mang tâm lý may rủi nhập cuộc thì sẽ nguy hiểm. Tạm thời không nên nhập cuộc, cẩn thận quan sát."
"PHONG SƠN TIỆM","PHONG ĐỊA QUAN","Bán ra ở giá cả khá cao sẽ thu lợi lớn, không nên giữ hàng lại, thu lợi rồi thì rút ra."
"PHONG SƠN TIỆM","THIÊN SƠN ĐỘN","Mua bán không thể dựa vào bẩm tính của mình, phải xóa bỏ tất cả mọi ý nghĩ cực đoan, dựa vào xu thế mà hành động, không được miễn cưỡng thì sẽ thắng lợi."
"PHONG SƠN TIỆM","CẤN VI SƠN","Nên ngừng thì ngừng, không nên do dự, nếu mang tâm lý may rủi hoặc tham lam thì sẽ bị mắc kẹt, nên kịp thời quyết định rồi rút lui, không nên nhập cuộc trở lại."
"PHONG SƠN TIỆM","THỦY SƠN KIỀN","Vận khí không tốt, hành động phải có nghị lực và kiên nhẫn hoàn thành từng tí, hơi buôn lỏng sẽ biến thắng lợi thành thất bại. Tạm thời nên quan sát."
"KHÔN VI ĐỊA","ĐỊA LÔI PHỤC","Hôm nay tinh thần bạn không tốt, bị một hiện tượng quái lạ nào đó uy hiếp. Tong tình trạng đó thử hỏi làm sao có thể mua bán tốt được, càng không thể nói là sẽ có lãi."
"KHÔN VI ĐỊA","ĐỊA THỦY SƯ","Thị trường trong ổn định có biến động, sức mua lớn nhưng chưa phải thời cơ để mua, nếu mua vào sẽ không có lợi. Lúc này cần chờ đợi, khi xu thế đã rõ thì tùy tình hình thị trường mà hành động."
"KHÔN VI ĐỊA","ĐỊA SƠN KHIÊM","Trước hết mừng bạn hôm nay không có gì nguy hiểm, ngược lại sẽ có lợi. Đầu tiên phải chỉnh lý lại chứng phiếu của mình, cân nhắc cẩn thận, vạch kế hoạch hành động, sau đó trao đổi với bạn bè, bình tĩnh tự tin thì mua bán sẽ không sai."
"KHÔN VI ĐỊA","LÔI ĐỊA DỰ","Hôm nay không được máy móc, không cố cầu tài vì vừa vất vả vừa không được lợi, tốt nhất là nghỉ ngơi."
"KHÔN VI ĐỊA","THỦY ĐỊA TỶ","Hôm nay thuận theo tình hình mà mua bán, không có gì nguy hiểm. Từ góc dộ thị trường mà xét, sức mua khá lớn, áp lực bên bán giảm xuống, giao dịch có thể sẽ thu lợi."
"KHÔN VI ĐỊA","SƠN ĐỊA BÁC","Chứng phiếu bán ra bị kẹt, bạn không dám mua vào, kết quả lòng rất áy náy, không có biện pháp gì khác."
"ĐỊA LÔI PHỤC","KHÔN VI ĐỊA","Chỉ dựa vào nguyên lý thông thường không thể thuyết phục được bạn cố gắng vươn lên, đầu óc nóng lên, tham lam vô độc, kết quả sẽ bị mắc kẹt. Xu thế xem ra có vẻ đi xuống."
"ĐỊA LÔI PHỤC","ĐỊA TRẠCH LÂM","Luôn chỉ biết cầu lợi, tình hình thay đổi, cuối cùng chẳng được gì."
"ĐỊA LÔI PHỤC","ĐỊA HỎA MINH DI","Thị trường khá yên lặng, mua bán bình thường, cho nên mua bán nhanh là chính, có thể giữ lại chứng phiếu."
"ĐỊA LÔI PHỤC","CHẤN VI LÔI","Giá tăng yếu ớt, sức cản khá lớn, tạm thời không nên nhập cuộc."
"ĐỊA LÔI PHỤC","THỦY LÔI TRUÂN","Không nên nhập cuộc, thế thủ là tốt, những biến hóa ngẫu nhiên sẽ dẫn đến thất bại."
"ĐỊA LÔI PHỤC","SƠN LÔI DI","Cho dù người khác nói gì thì cũng phải hành động theo sách lược của mình mới thu được lợi."
"ĐỊA TRẠCH LÂM","ĐỊA THỦY SƯ","Sức mua yếu ớt, áp lực bán khá mạnh, theo đà đó mua bán, thấy lợi thì làm."
"ĐỊA TRẠCH LÂM","ĐỊA LÔI PHỤC","Giá cả hạ xuống rõ ràng, then chốt là xem bạn làm ăn như thế nào."
"ĐỊA TRẠCH LÂM","ĐỊA THIÊN THÁI","Sức mua sức bán ngang nhau, chờ thời cơ nhập cuộc, mua nhanh bán nhanh là chính, có thể thu lợi."
"ĐỊA TRẠCH LÂM","LÔI TRẠCH QUY MUỘI","Thị trường xuất hiện trở ngại, nhập cuộc không thuận, cầu tài khó khăn."
"ĐỊA TRẠCH LÂM","THỦY TRẠCH TIẾT","Bên mua gặp trắc trở, áp lực bán ra mạnh hơn, mua bán phải chú ý điều chỉnh lượng giao dịch phù hợp với sức mình."
"ĐỊA TRẠCH LÂM","SƠN TRẠCH TỔN","Vận khí suy vi, không được như ý, mua bán vất vả, lợi nhuận ít."
"ĐỊA THIÊN THÁI","ĐỊA PHONG THĂNG","Thị trường phồn vinh, mọi người tấp nập, lượng giao dịch lớn, mua bán thịnh vượng, thu lợi như ý, nhưng không được nóng vội."
"ĐỊA THIÊN THÁI","ĐỊA HỎA MINH DI","Không thể vui mừng quá mức, cố gắng giữ được lợi ích vừa thu được, có thể thu được nữa, không thể chạy theo một cách mù quáng, rủi ro lớn, cần cẩn thận."
"ĐỊA THIÊN THÁI","ĐỊA TRẠCH LÂM","Không thấy được phương hướng biến đổi của thị trường, trong lòng không chắc ăn, chỉ hoạt động mù quáng, như thế rủi ro nhiều, thu lợi ít. Tốt nhất không nhập cuộc."
"ĐỊA THIÊN THÁI","LÔI THIÊN ĐẠI TRÁNG","Xu thế thị trường rõ ràng, chứng phiếu bị kẹt của bạn sẽ có cơ hội bán ra, chọn thời điểm thích hợp vào cuộc, có thể giữ lại chứng phiếu, rủi ro không lớn."
"ĐỊA THIÊN THÁI","THỦY THIÊN NHU","Tình hình biến đổi khiến cho bạn cảm thấy làm ăn vất vả, nhưng hoàn toàn có thể xóa bỏ lo lắng, mở mặt hàng mới nhất định sẽ thắng."
"ĐỊA THIÊN THÁI","SƠN THIÊN ĐẠI SÚC","Tinh thần đầy đủ, lượng giao dịch lớn, thấy thấp có thể mua vào, cầu lợi là được."
"LÔI THIÊN ĐẠI TRÁNG","LÔI PHONG HẰNG","Thực lực bên mua vẫn rất lớn, có thể mua vào nhưng số lượng không nên nhiều, kiên định tiên chắc, không nên dao động theo đuôi ý kiến người khác."
"LÔI THIÊN ĐẠI TRÁNG","LÔI HỎA PHONG","Bên mua kéo giá lên, bên bán nhập cuộc nhưng giá vẫn không giảm xuống, nhập cuộc không dễ cầu tài, tạm thời còn bị kẹt, nhưng không có gì nguy hiểm, có thể giữ hàng lại chờ thời."
"LÔI THIÊN ĐẠI TRÁNG","LÔI TRẠCH QUY MUỘI","Khách hàng nhỏ bận rộn, bề ngoài thị trường tấp nập, lượng giao dịch nhiều nhưng thực ra lợi nhuận không đáng kể."
"LÔI THIÊN ĐẠI TRÁNG","ĐỊA THIÊN THÁI","Thị trường vô cùng tấp nập, trước khi nhập cuộc nên điều chỉnh phương án hành động, nếu cảm thấy không tốt thì không nên nhẹ dạ nhập cuộc. Mở đầu xuất hiện tình trạng mua bán tranh chấp hỗn loạn khác thường."
"LÔI THIÊN ĐẠI TRÁNG","TRẠCH THIÊN QUẢI","Giá cả tăng dữ dội, dựa theo xu thế mua vào nhưng không thể đeo đuổi đến cùng, có triển vọng thu lợi lớn."
"LÔI THIÊN ĐẠI TRÁNG","HỎA THIÊN ĐẠI HỮU","bên bán đối địch với bên mua, thực lực bên mua rất mạnh, nhưng bên bán cũng tỏ ra không kém, mua bán phải cẩn thận, không được mù quáng."
"TRẠCH THIÊN QUẢI","TRẠCH PHONG ĐẠI QUÁ","Lượng giao dịch co lại, nhưng đó chỉ là hiện tượng tạm thời, là sự yên lặng trước khi xu thế chuyển đổi, không nên mua vào, chờ thời cơ mới nhập cuộc."
"TRẠCH THIÊN QUẢI","TRẠCH HỎA CÁCH","Thay đổi phương thức hành động, nếu không thì nhập cuộc sẽ bị kẹt, khoanh tay ngồi nhìn chẳng được ích gì. Đành phải bán ra, tuy không thua lỗ lớn nhưng để lại nỗi buồn. Không nên nhập cuộc."
"TRẠCH THIÊN QUẢI","ĐOÀI VI TRẠCH","Không nên nhập cuộc, vì tinh thần không ổn định, quá tham lam, vì quá tự tin mà bỏ lỡ cơ hội."
"TRẠCH THIÊN QUẢI","THỦY THIÊN NHU","Bên mua tỏ ra yếu ớt, không nên mù quáng mua vào, giá cả dao động giảm xuống, ở thời điểm thấp nhất có thể mua vào nhưng phải bán ra nhanh."
"TRẠCH THIÊN QUẢI","LÔI THIÊN ĐẠI TRÁNG","Thất bại liên tục, chứng phiếu bị kẹt không được giải tỏa kịp thời, giữ lâu nguy hiểm. Không nên mua bán mới."
"TRẠCH THIÊN QUẢI","CÀN VI THIÊN","Có cảnh tượng bên mua áp đảo bên bán, vượng cực thì suy, giá cả đã tăng đến đỉnh điểm, không thể mù quáng mua theo, lúc này không nên nhập cuộc, chờ xu thế rõ để có phương án."
"THỦY THIÊN NHU","THỦY PHONG TỈNH","giá cả biến động ít, xu thế ổn định, sức bán lớn hơn sức mua, nhưng mua hay bán đều không thu lợi nhiều, xu thế hôm nay không nên nhập cuộc."
"THỦY THIÊN NHU","THỦY HOẢ KÝ TẾ","hôm nay có thể nhập cuộc theo cảm giác của mình, sẽ không có rủi ro."
"THỦY THIÊN NHU","THỦY TRẠCH TIẾT","giá cả lên cao, áp lực bán ra khá mạnh, bên mau không lợi, bên bán căng thẳng, tuy không nguy hiểm nhưng không lợi cho nhập cuộc."
"THỦY THIÊN NHU","TRẠCH THIÊN QUẢI","phải đi sâu vào thị trường, không được đứng bên ngoài mà bình luận, phải cố gắng lãnh hội sự biến đổi và các loại nhân tố ảnh hưởng đến giá của thị trường, chỉ có như thế mới tránh xa rủi ro, qua đó mà gặt hái nhiều điều có ích."
"THỦY THIÊN NHU","ĐỊA THIÊN THÁI","áp lực bán ra rất lớn, sức mua theo đó tăng lên, kết quả bên bán bị kẹt, bên mua được lợi. Muốn chuyển hóa sức mua và sức bán của thị trường phải có điều kiện nhất định. Đó là việc đến đáy thì mới bật lên."
"THỦY THIÊN NHU","PHONG THIÊN TIỂU SÚC","chiến đấu đơn độc với thị trường rất gian khổ, không tránh khỏi cảm giác cô đơn, áp lực tâm lý lớn, không nhạy bén phản ứng với biến đổi của thị trường, theo đuôi thị trường một cách bị động."
"THỦY ĐỊA TỶ","THỦY LÔI TRUÂN","Khi phán đoán xu thế chính xác, khi giá cả đang lên lấy đầu mua làm chính, khi giá cả xuống, phải lấy đầu bán làm chính, nói tóm lại mua bán thuận theo xu thế là cách lựa chọn thông minh nhất. Hôm nay vào sàn điều dễ mắc sai lầm là đi ngược lại xu thế, không lợi."
"THỦY ĐỊA TỶ","KHẢM VI THỦY","Áp lực bán ra khá lớn, xu thế thị trường như ngưng lại, mua bán cẩn thận, thị trường đã bước vào trước thời kỳ biến động phức tạp."
"THỦY ĐỊA TỶ","THỦY SƠN KIỀN","Giá tăng yếu, giảm xuống nhiều, tình hình này nên nắm chắc điều kiện cụ thể của mình, phát huy ưu thế để giành phần thắng."
"THỦY ĐỊA TỶ","TRẠCH ĐỊA TỤY","Âm dương biến đổi là lẽ thường tình, mua bán cạnh tranh nhau, dương tổn âm lợi, cuối cùng âm dương đồng đều, cầu lợi không được."
"THỦY ĐỊA TỶ","KHÔN VI ĐỊA","Từ đáy thấp chuyển lên, thuận theo xu thế mà mua bán, cẩn thận đề phòng bán phải giá thấp, hàng bị kẹt."
"THỦY ĐỊA TỶ","PHONG ĐỊA QUAN","Hôm nay là ngày tốt của bạn, hãy hành động theo phương án của mình, yên tâm mua bán sẽ lãi bất ngờ. Có thể xét cùng một loại chứng phiếu ở những tháng khác nhau, đồng thời vào sàn thì nguy hiểm rất ít. Trường hợp như thế rất ít gặp, nhưng không được say sưa quá mức vì lúc này sự vật cũng rất dễ phát triển theo một hướng khác."
